td, id, tj, df, dd, db
769, 474, 755, 1, 13, 14
770, 2586, 759, 1, 10, 11
775, 2588, 763, 1, 11, 12
775, 2595, 773, 1, 1, 2
780, 2598, 776, 1, 3, 4
783, 2589, 764, 1, 18, 19
783, 488, 782, 1, 0, 1
784, 2590, 765, 1, 18, 19
785, 2591, 767, 1, 17, 18
785, 2592, 768, 1, 16, 17
786, 2599, 779, 1, 6, 7
789, 2606, 785, 1, 3, 4
789, 494, 788, 1, 0, 1
795, 2607, 786, 1, 8, 9
795, 2602, 782, 1, 12, 13
800, 2617, 799, 1, 0, 1
800, 2618, 799, 1, 0, 1
800, 492, 786, Never attacked, Never attacked, 14
800, 303, 484, 90, 226, 316
800, 367, 577, 115, 108, 223
800, 375, 586, 110, 104, 214
800, 355, 562, 102, 136, 238
800, 393, 615, 104, 81, 185
800, 406, 638, 91, 71, 162
800, 385, 600, 98, 102, 200
800, 496, 790, 1, 9, 10
801, 377, 588, 109, 104, 213
801, 405, 637, 91, 73, 164
801, 397, 623, 101, 77, 178
801, 382, 597, 101, 103, 204
801, 392, 614, 104, 83, 187
801, 391, 613, 105, 83, 188
801, 388, 608, 109, 84, 193
801, 415, 648, 86, 67, 153
802, 408, 640, 92, 70, 162
802, 424, 666, 85, 51, 136
802, 446, 703, 74, 25, 99
802, 414, 647, 86, 69, 155
802, 418, 655, 93, 54, 147
802, 403, 630, 97, 75, 172
802, 434, 682, 78, 42, 120
802, 417, 652, 89, 61, 150
803, 2619, 801, 1, 1, 2
803, 440, 696, 7, 100, 107
803, 444, 701, 2, 100, 102
803, 451, 711, 8, 84, 92
803, 448, 707, 1, 95, 96
803, 501, 802, Never attacked, Never attacked, 1
804, 429, 677, 46, 81, 127
804, 436, 685, 23, 96, 119
804, 428, 675, 52, 77, 129
804, 432, 680, 41, 83, 124
804, 465, 735, Never attacked, Never attacked, 69
804, 475, 759, Never attacked, Never attacked, 45
804, 479, 765, 1, 38, 39
807, 2621, 803, 1, 3, 4
808, 506, 805, Never attacked, Never attacked, 3
817, 2603, 783, 1, 33, 34
817, 2625, 809, 1, 7, 8
818, 2627, 813, 1, 4, 5
820, 499, 799, Never attacked, Never attacked, 21
822, 2610, 788, 1, 33, 34
822, 2611, 789, 1, 32, 33
823, 2616, 795, 1, 27, 28
824, 2620, 802, 1, 21, 22
824, 2622, 804, 1, 19, 20
825, 2626, 812, 6, 7, 13
829, 2630, 818, 5, 6, 11
832, 2638, 830, 1, 1, 2
833, 2637, 829, 1, 3, 4
837, 2634, 826, 1, 10, 11
837, 513, 819, Never attacked, Never attacked, 18
837, 512, 818, Never attacked, Never attacked, 19
837, 435, 684, 79, 74, 153
837, 523, 836, Never attacked, Never attacked, 1
838, 2635, 827, 1, 10, 11
838, 2633, 823, 1, 14, 15
838, 2640, 835, 1, 2, 3
839, 2636, 828, 1, 10, 11
839, 2631, 819, 19, 1, 20
839, 2632, 819, 19, 1, 20
840, 2639, 834, 1, 5, 6
847, 2649, 846, 1, 0, 1
848, 2642, 837, 1, 10, 11
847, 530, 846, Never attacked, Never attacked, 1
848, 2643, 838, 1, 9, 10
848, 2642, 837, 1, 10, 11
848, 2644, 840, 1, 7, 8
848, 2645, 840, 1, 7, 8
849, 525, 837, 1, 11, 12
854, 534, 851, 1, 2, 3
855, 2658, 853, 1, 1, 2
855, 2659, 854, 1, 0, 1
855, 537, 854, 1, 0, 1
855, 536, 853, 1, 1, 2
859, 2641, 836, 1, 22, 23
860, 2650, 847, 1, 12, 13
861, 2655, 851, 1, 9, 10
862, 2661, 858, 1, 3, 4
863, 2660, 857, 1, 5, 6
864, 540, 859, 1, 4, 5
866, 2656, 852, 1, 13, 14
866, 2657, 852, 1, 13, 14
866, 2656, 852, 1, 13, 14
866, 2657, 852, 1, 13, 14
868, 543, 865, 1, 2, 3
869, 542, 864, 1, 4, 5
876, 2662, 859, 1, 16, 17
877, 2667, 865, 1, 11, 12
880, 2668, 866, 1, 13, 14
880, 2672, 872, 1, 7, 8
881, 2669, 867, 1, 13, 14
885, 554, 883, 1, 1, 2
885, 553, 882, 1, 2, 3
888, 2684, 887, 1, 0, 1
889, 2670, 868, 1, 20, 21
890, 2681, 883, 1, 6, 7
891, 2683, 885, 1, 5, 6
892, 2674, 875, 1, 16, 17
897, 532, 848, Never attacked, Never attacked, 49
897, 469, 740, 84, 73, 157
897, 470, 742, 82, 73, 155
897, 481, 768, 88, 41, 129
897, 551, 878, Never attacked, Never attacked, 19
898, 467, 738, 82, 78, 160
898, 463, 729, 72, 97, 169
898, 466, 736, 81, 81, 162
898, 471, 743, 106, 49, 155
898, 564, 896, Never attacked, Never attacked, 2
899, 2671, 871, 1, 27, 28
908, 2697, 899, 1, 8, 9
908, 464, 731, 77, 100, 177
908, 572, 907, Never attacked, Never attacked, 1
909, 2701, 904, 1, 4, 5
909, 2702, 907, 1, 1, 2
910, 2693, 896, 1, 13, 14
910, 2694, 896, 1, 13, 14
912, 2673, 874, 1, 37, 38
913, 2682, 884, 1, 28, 29
914, 2691, 895, 1, 18, 19
914, 2685, 888, 1, 25, 26
914, 2691, 895, 1, 18, 19
915, 2686, 889, 1, 25, 26
916, 2679, 882, 1, 33, 34
916, 2679, 882, 1, 33, 34
917, 2710, 916, 1, 0, 1
917, 2708, 913, 1, 3, 4
917, 2705, 910, 1, 6, 7
917, 2677, 880, 3, 34, 37
920, 2687, 891, 1, 28, 29
921, 2690, 894, 12, 15, 27
922, 2698, 901, 12, 9, 21
923, 2651, 848, 1, 74, 75
923, 2699, 902, 12, 9, 21
923, 2651, 848, 1, 74, 75
923, 569, 902, 1, 20, 21
924, 2700, 903, 12, 9, 21
924, 585, 920, 1, 3, 4
924, 581, 913, 2, 9, 11
924, 583, 916, 3, 5, 8
925, 563, 895, 1, 29, 30
930, 2703, 908, 8, 14, 22
930, 500, 801, 92, 37, 129
930, 491, 785, 91, 54, 145
930, 478, 764, 87, 79, 166
930, 483, 773, 86, 71, 157
930, 497, 792, 97, 41, 138
930, 441, 697, 66, 167, 233
930, 590, 929, Never attacked, Never attacked, 1
931, 2704, 909, 12, 10, 22
932, 2709, 914, 8, 10, 18
932, 2711, 917, 6, 9, 15
933, 2712, 920, 4, 9, 13
934, 2717, 929, 1, 4, 5
936, 2718, 930, 1, 5, 6
935, 2716, 928, 1, 6, 7
936, 2718, 930, 1, 5, 6
936, 2718, 930, 1, 5, 6
945, 594, 933, 1, 11, 12
946, 2713, 922, 3, 21, 24
947, 2714, 924, 2, 21, 23
949, 2720, 932, 1, 16, 17
950, 2723, 936, 1, 13, 14
951, 2725, 939, 1, 11, 12
952, 2726, 940, 1, 11, 12
952, 2724, 938, 1, 13, 14
952, 2730, 951, 1, 0, 1
953, 2727, 943, 1, 9, 10
954, 2728, 944, 1, 9, 10
957, 2612, 790, 1, 166, 167
957, 2612, 790, 1, 166, 167
957, 2612, 790, 1, 166, 167
958, 2734, 955, 1, 2, 3
959, 2736, 957, 1, 1, 2
959, 2736, 957, 1, 1, 2
959, 609, 958, 1, 0, 1
970, 2740, 960, 1, 9, 10
975, 611, 960, Never attacked, Never attacked, 15
975, 538, 857, 95, 23, 118
975, 544, 866, 89, 20, 109
975, 515, 823, 85, 67, 152
975, 505, 804, 98, 73, 171
976, 521, 834, 84, 58, 142
976, 508, 809, 98, 69, 167
976, 616, 974, Never attacked, Never attacked, 2
977, 2729, 946, 1, 30, 31
977, 602, 951, 1, 25, 26
978, 2732, 953, 1, 24, 25
978, 610, 959, 1, 18, 19
978, 612, 962, 6, 10, 16
978, 613, 969, Never attacked, Never attacked, 9
978, 603, 952, 1, 25, 26
979, 2733, 954, 1, 24, 25
979, 604, 953, 1, 25, 26
980, 2735, 956, 1, 23, 24
981, 2739, 959, 1, 21, 22
982, 2745, 971, 7, 4, 11
983, 2746, 973, 6, 4, 10
984, 2753, 977, 3, 4, 7
990, 2756, 980, 1, 9, 10
996, 630, 995, 1, 0, 1
996, 627, 983, 1, 12, 13
998, 2757, 981, 1, 16, 17
999, 2758, 982, 1, 16, 17
999, 2760, 985, 1, 13, 14
1000, 2761, 991, 1, 8, 9
1001, 2762, 995, 1, 5, 6
1001, 2759, 983, 1, 17, 18
1001, 634, 1000, 1, 0, 1
1003, 2768, 1001, 1, 1, 2
1003, 2769, 1001, 1, 1, 2
1004, 2771, 1003, 1, 0, 1
1006, 2749, 975, 1, 30, 31
1004, 528, 841, 108, 55, 163
1004, 519, 829, 82, 93, 175
1004, 608, 957, Never attacked, Never attacked, 47
1004, 527, 840, 107, 57, 164
1004, 484, 774, 85, 145, 230
1004, 504, 803, 98, 103, 201
1004, 520, 830, 96, 78, 174
1004, 637, 1003, Never attacked, Never attacked, 1
1006, 2749, 975, 1, 30, 31
1006, 2749, 975, 1, 30, 31
1006, 2750, 975, 1, 30, 31
1009, 2763, 996, 1, 12, 13
1010, 2764, 998, 1, 11, 12
1013, 2773, 1008, 1, 4, 5
1015, 2772, 1007, 1, 7, 8
1017, 2765, 999, 1, 17, 18
1017, 2774, 1012, 1, 4, 5
1017, 2775, 1012, 1, 4, 5
1025, 2608, 787, 2, 236, 238
1025, 2608, 787, 2, 236, 238
1025, 2608, 787, 2, 236, 238
1025, 2778, 1015, 1, 9, 10
1025, 2779, 1024, 1, 0, 1
1025, 2608, 787, 2, 236, 238
1034, 2770, 1002, 1, 31, 32
1034, 2780, 1025, 1, 8, 9
1038, 2604, 784, 7, 247, 254
1038, 2604, 784, 7, 247, 254
1038, 2604, 784, 7, 247, 254
1041, 2785, 1033, 1, 7, 8
1040, 2600, 781, 2, 257, 259
1041, 2785, 1033, 1, 7, 8
1041, 2593, 770, 269, 2, 271
1041, 2594, 770, 269, 2, 271
1042, 2790, 1041, 1, 0, 1
1042, 2578, 742, 14, 286, 300
1046, 2542, 696, 3, 347, 350
1045, 2791, 1042, 1, 2, 3
1046, 2542, 696, 3, 347, 350
1046, 2542, 696, 3, 347, 350
1051, 2516, 655, 392, 4, 396
1051, 2517, 655, 392, 4, 396
1051, 2516, 655, 392, 4, 396
1051, 2517, 655, 392, 4, 396
1055, 660, 1054, 1, 0, 1
1061, 2795, 1051, 1, 9, 10
1064, 2805, 1063, 1, 0, 1
1064, 2806, 1063, 1, 0, 1
1067, 2802, 1061, 1, 5, 6
1068, 2800, 1058, 1, 9, 10
1068, 2798, 1055, 1, 12, 13
1068, 2800, 1058, 1, 9, 10
1069, 565, 897, 113, 59, 172
1069, 452, 712, 67, 290, 357
1069, 454, 715, 84, 270, 354
1069, 578, 909, 134, 26, 160
1069, 493, 787, 98, 184, 282
1069, 433, 681, 79, 309, 388
1069, 577, 908, 134, 27, 161
1070, 2784, 1032, 1, 37, 38
1070, 579, 910, 133, 27, 160
1070, 587, 924, 121, 25, 146
1070, 561, 892, 116, 62, 178
1070, 570, 903, 133, 34, 167
1070, 595, 936, 121, 13, 134
1071, 2786, 1035, 1, 35, 36
1071, 2290, 372, 1, 698, 699
1071, 555, 884, 85, 102, 187
1071, 562, 894, 115, 62, 177
1071, 560, 891, 115, 65, 180
1071, 545, 867, 90, 114, 204
1071, 547, 871, 92, 108, 200
1072, 2789, 1037, 1, 34, 35
1072, 2792, 1044, 1, 27, 28
1072, 556, 885, 86, 101, 187
1072, 480, 767, 85, 220, 305
1072, 559, 889, 94, 89, 183
1072, 558, 888, 91, 93, 184
1072, 567, 899, 114, 59, 173
1073, 2793, 1047, 1, 25, 26
1073, 571, 904, 133, 36, 169
1073, 584, 917, 128, 28, 156
1073, 568, 901, 124, 48, 172
1073, 482, 770, 133, 170, 303
1073, 477, 763, 1, 309, 310
1073, 661, 1055, 1, 17, 18
1073, 641, 1012, 1, 60, 61
1074, 2794, 1050, 21, 3, 24
1074, 588, 925, 28, 121, 149
1074, 485, 776, 127, 171, 298
1074, 591, 930, 23, 121, 144
1074, 473, 750, 13, 311, 324
1074, 472, 744, 19, 311, 330
1074, 647, 1031, 1, 42, 43
1074, 649, 1033, 1, 40, 41
1075, 459, 723, 1, 351, 352
1075, 468, 739, 222, 114, 336
1075, 427, 674, 56, 345, 401
1075, 425, 668, 298, 109, 407
1075, 420, 660, 311, 104, 415
1075, 653, 1041, 1, 33, 34
1075, 642, 1014, 1, 60, 61
1076, 635, 1001, 1, 74, 75
1076, 626, 982, 14, 80, 94
1076, 625, 981, 15, 80, 95
1076, 623, 978, 32, 66, 98
1076, 423, 665, 306, 105, 411
1076, 650, 1035, 1, 40, 41
1076, 639, 1007, 1, 68, 69
1076, 633, 999, 1, 76, 77
1076, 659, 1053, 1, 22, 23
1077, 617, 975, 1, 101, 102
1077, 416, 650, 1, 426, 427
1077, 399, 626, 18, 433, 451
1077, 396, 621, 25, 431, 456
1077, 672, 1069, Never attacked, Never attacked, 8
1077, 657, 1050, 27, 0, 27
1077, 631, 996, 1, 80, 81
1077, 655, 1044, 1, 32, 33
1077, 656, 1047, 11, 19, 30
1078, 654, 1042, 1, 35, 36
1078, 652, 1037, 1, 40, 41
1078, 394, 619, 29, 430, 459
1078, 648, 1032, 1, 45, 46
1078, 374, 584, 13, 481, 494
1078, 671, 1068, Never attacked, Never attacked, 10
1080, 2796, 1053, 19, 8, 27
1081, 2797, 1054, 19, 8, 27
1082, 2799, 1056, 17, 9, 26
1082, 2801, 1060, 14, 8, 22
1083, 2807, 1064, 11, 8, 19
1084, 2809, 1066, 12, 6, 18
1085, 2810, 1068, 10, 7, 17
1086, 2811, 1069, 9, 8, 17
1086, 2814, 1074, 7, 5, 12
1087, 2816, 1077, 6, 4, 10
1088, 2822, 1084, 1, 3, 4
1090, 685, 1088, 1, 1, 2
1090, 684, 1086, 1, 3, 4
1100, 687, 1090, 1, 9, 10
1101, 2815, 1076, 1, 24, 25
1102, 2829, 1092, 1, 9, 10
1102, 2821, 1082, 1, 19, 20
1105, 2825, 1088, 1, 16, 17
1105, 2825, 1088, 1, 16, 17
1105, 2826, 1088, 1, 16, 17
1108, 2823, 1085, 1, 22, 23
1108, 2840, 1107, 1, 0, 1
1108, 2841, 1107, 1, 0, 1
1109, 2824, 1086, 1, 22, 23
1109, 2827, 1089, 1, 19, 20
1110, 2828, 1090, 1, 19, 20
1110, 2834, 1098, 1, 11, 12
1111, 2835, 1101, 1, 9, 10
1111, 694, 1103, 1, 7, 8
1112, 2836, 1102, 1, 9, 10
1120, 2817, 1079, 8, 33, 41
1112, 699, 1111, 1, 0, 1
1112, 692, 1101, 1, 10, 11
1113, 2837, 1103, 1, 9, 10
1120, 2817, 1079, 8, 33, 41
1120, 2817, 1079, 8, 33, 41
1120, 2817, 1079, 8, 33, 41
1120, 2817, 1079, 8, 33, 41
1120, 2818, 1079, 8, 33, 41
1122, 2842, 1108, 1, 13, 14
1123, 2847, 1113, 1, 9, 10
1124, 2848, 1116, 1, 7, 8
1126, 2281, 359, 1, 766, 767
1126, 2229, 281, 57, 788, 845
1127, 2855, 1124, 1, 2, 3
1128, 2224, 274, 1, 853, 854
1128, 2224, 274, 1, 853, 854
1130, 702, 1116, 1, 13, 14
1130, 709, 1126, 1, 3, 4
1131, 2853, 1122, 1, 8, 9
1131, 2838, 1105, 1, 25, 26
1132, 2854, 1123, 1, 8, 9
1133, 2856, 1125, 1, 7, 8
1133, 2857, 1126, 1, 6, 7
1133, 2839, 1106, 1, 26, 27
1134, 2858, 1128, 1, 5, 6
1134, 2859, 1129, 1, 4, 5
1135, 2860, 1130, 1, 4, 5
1135, 2862, 1132, 1, 2, 3
1141, 2865, 1135, 1, 5, 6
1141, 2866, 1136, 1, 4, 5
1144, 2861, 1131, 1, 12, 13
1144, 2874, 1143, 1, 0, 1
1144, 2875, 1143, 1, 0, 1
1144, 2871, 1141, 3, 0, 3
1144, 2872, 1141, 3, 0, 3
1145, 2876, 1144, 1, 0, 1
1146, 2873, 1142, 1, 3, 4
1149, 2863, 1133, 12, 4, 16
1149, 2864, 1133, 12, 4, 16
1149, 2863, 1133, 12, 4, 16
1149, 2864, 1133, 12, 4, 16
1157, 2881, 1148, 1, 8, 9
1157, 2882, 1151, 1, 5, 6
1158, 2883, 1152, 1, 5, 6
1158, 2886, 1155, 1, 2, 3
1159, 2887, 1156, 1, 2, 3
1164, 2114, 123, 1, 1040, 1041
1163, 2892, 1162, 1, 0, 1
1163, 2893, 1162, 1, 0, 1
1164, 2114, 123, 1, 1040, 1041
1164, 2114, 123, 1, 1040, 1041
1167, 2891, 1161, 1, 5, 6
1169, 2894, 1166, 1, 2, 3
1169, 2895, 1166, 1, 2, 3
1172, 2890, 1160, 1, 11, 12
1173, 2898, 1171, 1, 1, 2
1173, 2897, 1169, 1, 3, 4
1175, 2896, 1167, 1, 7, 8
1183, 2905, 1182, 1, 0, 1
1183, 2906, 1182, 1, 0, 1
1185, 2900, 1173, 1, 11, 12
1189, 2907, 1188, 1, 0, 1
1194, 695, 1105, Never attacked, Never attacked, 89
1194, 713, 1131, Never attacked, Never attacked, 63
1194, 726, 1148, Never attacked, Never attacked, 46
1194, 718, 1137, Never attacked, Never attacked, 57
1194, 548, 872, 91, 231, 322
1194, 549, 874, 95, 225, 320
1194, 643, 1015, 85, 94, 179
1195, 592, 931, 123, 141, 264
1195, 624, 980, 111, 104, 215
1195, 622, 977, 110, 108, 218
1195, 615, 973, 109, 113, 222
1195, 599, 943, 127, 125, 252
1195, 601, 946, 132, 117, 249
1195, 749, 1193, Never attacked, Never attacked, 2
1197, 2899, 1172, 1, 24, 25
1200, 2901, 1176, 1, 23, 24
1201, 2902, 1179, 1, 21, 22
1202, 2909, 1192, 1, 9, 10
1202, 2908, 1190, 1, 11, 12
1203, 2912, 1195, 1, 7, 8
1203, 2916, 1198, 1, 4, 5
1203, 2917, 1198, 1, 4, 5
1204, 2913, 1196, 1, 7, 8
1208, 2918, 1200, 1, 7, 8
1209, 2919, 1201, 1, 7, 8
1210, 2920, 1203, 1, 6, 7
1213, 2921, 1204, 1, 8, 9
1213, 2922, 1204, 1, 8, 9
1216, 2910, 1193, 1, 22, 23
1217, 2923, 1205, 1, 11, 12
1218, 2926, 1208, 1, 9, 10
1219, 2927, 1211, 1, 7, 8
1219, 764, 1218, 1, 0, 1
1220, 2928, 1215, 1, 4, 5
1221, 2930, 1218, 1, 2, 3
1221, 2931, 1218, 1, 2, 3
1223, 2929, 1216, 1, 6, 7
1224, 2932, 1221, 1, 2, 3
1230, 2934, 1225, 1, 4, 5
1230, 2934, 1225, 1, 4, 5
1236, 2935, 1230, 1, 5, 6
1241, 2938, 1237, 1, 3, 4
1241, 2939, 1237, 1, 3, 4
1242, 2937, 1236, 1, 5, 6
1246, 2941, 1243, 1, 2, 3
1247, 2942, 1244, 1, 2, 3
1247, 2943, 1246, 1, 0, 1
1249, 2940, 1238, 1, 10, 11
1249, 2940, 1238, 1, 10, 11
1250, 2936, 1233, 1, 16, 17
1252, 2948, 1251, 1, 0, 1
1252, 2949, 1251, 1, 0, 1
1252, 771, 1237, Never attacked, Never attacked, 15
1252, 763, 1216, Never attacked, Never attacked, 36
1252, 706, 1123, 78, 51, 129
1252, 526, 838, 90, 324, 414
1252, 614, 971, 111, 170, 281
1252, 686, 1089, Never attacked, Never attacked, 163
1252, 644, 1024, 78, 150, 228
1252, 779, 1251, Never attacked, Never attacked, 1
1253, 668, 1064, 85, 104, 189
1253, 596, 938, 123, 192, 315
1253, 606, 955, 123, 175, 298
1253, 632, 998, 95, 160, 255
1253, 636, 1002, 94, 157, 251
1253, 780, 1252, Never attacked, Never attacked, 1
1262, 2951, 1256, 1, 5, 6
1265, 707, 1124, 90, 51, 141
1265, 721, 1142, 110, 13, 123
1265, 645, 1025, 83, 157, 240
1265, 662, 1056, 63, 146, 209
1265, 664, 1060, 61, 144, 205
1265, 582, 914, 130, 221, 351
1265, 785, 1264, Never attacked, Never attacked, 1
1266, 2945, 1249, 1, 16, 17
1267, 2950, 1252, 1, 14, 15
1268, 2952, 1260, 1, 7, 8
1272, 2953, 1263, 1, 8, 9
1271, 2954, 1264, 1, 6, 7
1272, 2953, 1263, 1, 8, 9
1273, 2962, 1272, 1, 0, 1
1273, 2961, 1271, 1, 1, 2
1282, 2956, 1267, 1, 14, 15
1281, 2960, 1270, 1, 10, 11
1282, 2956, 1267, 1, 14, 15
1282, 2966, 1276, 1, 5, 6
1282, 2956, 1267, 1, 14, 15
1284, 723, 1144, 110, 30, 140
1284, 646, 1028, 86, 170, 256
1284, 670, 1066, 84, 134, 218
1284, 683, 1085, 99, 100, 199
1284, 691, 1098, 89, 97, 186
1284, 689, 1095, 92, 97, 189
1284, 697, 1107, 82, 95, 177
1284, 799, 1283, Never attacked, Never attacked, 1
1287, 2967, 1279, 1, 7, 8
1288, 2969, 1282, 1, 5, 6
1289, 2972, 1284, 1, 4, 5
1290, 2973, 1285, 1, 4, 5
1291, 2974, 1286, 1, 4, 5
1291, 2968, 1281, 1, 9, 10
1295, 2978, 1289, 1, 5, 6
1297, 2963, 1273, 1, 23, 24
1300, 2975, 1287, 1, 12, 13
1300, 2976, 1287, 1, 12, 13
1308, 2979, 1290, 1, 17, 18
1309, 2991, 1308, 1, 0, 1
1310, 2983, 1294, 1, 15, 16
1310, 2989, 1304, 1, 5, 6
1310, 2983, 1294, 1, 15, 16
1317, 2980, 1291, 1, 25, 26
1318, 2981, 1292, 1, 25, 26
1319, 2982, 1293, 1, 25, 26
1320, 2984, 1297, 1, 22, 23
1321, 2985, 1300, 1, 20, 21
1321, 737, 1167, 100, 54, 154
1321, 753, 1198, 79, 44, 123
1321, 703, 1117, 83, 121, 204
1321, 710, 1128, 89, 104, 193
1321, 824, 1320, Never attacked, Never attacked, 1
1326, 2995, 1313, 1, 12, 13
1326, 2996, 1313, 1, 12, 13
1325, 762, 1215, 97, 13, 110
1325, 733, 1160, 107, 58, 165
1325, 729, 1154, 102, 69, 171
1325, 748, 1192, 82, 51, 133
1325, 822, 1313, Never attacked, Never attacked, 12
1325, 597, 939, 131, 255, 386
1325, 827, 1324, Never attacked, Never attacked, 1
1326, 2995, 1313, 1, 12, 13
1326, 2996, 1313, 1, 12, 13
1330, 3006, 1327, 1, 2, 3
1330, 3002, 1323, 1, 6, 7
1330, 3006, 1327, 1, 2, 3
1336, 3008, 1329, 1, 6, 7
1336, 3009, 1329, 1, 6, 7
1337, 3005, 1326, 1, 10, 11
1342, 2986, 1301, 1, 40, 41
1343, 2987, 1302, 1, 40, 41
1344, 2988, 1303, 17, 24, 41
1344, 3011, 1339, 1, 4, 5
1352, 2990, 1307, 14, 31, 45
1353, 2992, 1310, 12, 31, 43
1353, 3016, 1351, 1, 1, 2
1358, 2993, 1311, 19, 28, 47
1359, 2994, 1312, 31, 16, 47
1360, 2997, 1319, 25, 16, 41
1361, 3003, 1324, 21, 16, 37
1361, 834, 1329, Never attacked, Never attacked, 32
1361, 794, 1275, 69, 17, 86
1361, 770, 1236, 79, 46, 125
1361, 790, 1270, 68, 23, 91
1361, 755, 1201, 94, 66, 160
1361, 778, 1250, 67, 44, 111
1361, 708, 1125, 91, 145, 236
1362, 717, 1136, 83, 143, 226
1362, 784, 1263, 64, 35, 99
1362, 759, 1206, 99, 57, 156
1362, 845, 1360, Never attacked, Never attacked, 2
1363, 3017, 1352, 1, 10, 11
1367, 851, 1363, 1, 3, 4
1367, 734, 1161, 1, 205, 206
1368, 854, 1367, 1, 0, 1
1368, 775, 1246, 5, 117, 122
1369, 758, 1205, 3, 161, 164
1370, 740, 1172, 22, 176, 198
1370, 761, 1211, 1, 158, 159
1370, 769, 1233, 52, 85, 137
1370, 744, 1180, 1, 189, 190
1370, 832, 1327, 43, 0, 43
1371, 3004, 1325, 29, 17, 46
1371, 3010, 1336, 23, 12, 35
1371, 735, 1162, 6, 203, 209
1373, 3022, 1362, 1, 10, 11
1372, 3032, 1371, 1, 0, 1
1372, 3033, 1371, 1, 0, 1
1372, 745, 1182, 190, 0, 190
1372, 754, 1200, 1, 171, 172
1372, 722, 1143, 1, 228, 229
1372, 821, 1312, 2, 58, 60
1372, 818, 1308, 6, 58, 64
1372, 836, 1339, 22, 11, 33
1373, 3022, 1362, 1, 10, 11
1373, 859, 1372, 1, 0, 1
1373, 728, 1152, 1, 220, 221
1373, 830, 1325, 5, 43, 48
1373, 787, 1265, 20, 88, 108
1373, 750, 1195, 1, 177, 178
1374, 3012, 1341, 19, 14, 33
1374, 765, 1221, 153, 0, 153
1374, 772, 1238, 136, 0, 136
1374, 768, 1230, 8, 136, 144
1374, 774, 1244, 42, 88, 130
1374, 839, 1345, 16, 13, 29
1374, 776, 1247, 4, 123, 127
1375, 3013, 1344, 17, 14, 31
1375, 806, 1290, 81, 4, 85
1381, 3014, 1345, 17, 19, 36
1382, 3015, 1349, 23, 10, 33
1384, 3018, 1356, 16, 12, 28
1384, 3038, 1376, 1, 7, 8
1384, 3023, 1363, 1, 20, 21
1385, 3019, 1357, 18, 10, 28
1385, 3044, 1382, 1, 2, 3
1385, 3028, 1368, 1, 16, 17
1386, 3024, 1364, 12, 10, 22
1387, 3029, 1369, 13, 5, 18
1388, 3049, 1387, 1, 0, 1
1388, 3042, 1380, 3, 5, 8
1388, 3043, 1380, 3, 5, 8
1390, 3034, 1372, 11, 7, 18
1391, 3035, 1373, 10, 8, 18
1392, 3036, 1374, 9, 9, 18
1392, 3037, 1375, 8, 9, 17
1393, 3041, 1379, 6, 8, 14
1393, 3045, 1383, 3, 7, 10
1394, 3046, 1384, 3, 7, 10
1394, 3047, 1385, 3, 6, 9
1394, 872, 1387, 1, 6, 7
1395, 3048, 1386, 5, 4, 9
1395, 871, 1386, 1, 8, 9
1395, 867, 1382, 1, 12, 13
1405, 3020, 1360, 1, 44, 45
1405, 3020, 1360, 1, 44, 45
1405, 3059, 1404, 1, 0, 1
1405, 3020, 1360, 1, 44, 45
1406, 3050, 1388, 5, 13, 18
1407, 3051, 1391, 2, 14, 16
1407, 873, 1388, Never attacked, Never attacked, 19
1407, 861, 1374, Never attacked, Never attacked, 33
1407, 858, 1371, Never attacked, Never attacked, 36
1407, 807, 1291, 65, 51, 116
1407, 789, 1268, 62, 77, 139
1407, 788, 1267, 62, 78, 140
1408, 782, 1256, 70, 82, 152
1408, 792, 1272, 70, 66, 136
1408, 853, 1366, Never attacked, Never attacked, 42
1408, 802, 1286, 68, 54, 122
1408, 589, 928, 118, 362, 480
1408, 621, 976, 110, 322, 432
1409, 3060, 1405, 1, 3, 4
1409, 3058, 1403, 1, 5, 6
1409, 628, 985, 107, 317, 424
1409, 546, 868, 93, 448, 541
1409, 640, 1008, 92, 309, 401
1409, 629, 991, 101, 317, 418
1409, 651, 1036, 78, 295, 373
1409, 674, 1074, 79, 256, 335
1410, 3064, 1409, 1, 0, 1
1410, 3065, 1409, 1, 0, 1
1410, 665, 1061, 72, 277, 349
1410, 667, 1063, 71, 276, 347
1410, 696, 1106, 82, 222, 304
1410, 746, 1188, Never attacked, Never attacked, 222
1410, 679, 1079, 84, 247, 331
1410, 756, 1203, Never attacked, Never attacked, 207
1411, 3052, 1394, 1, 16, 17
1411, 705, 1122, 78, 211, 289
1411, 680, 1080, 97, 234, 331
1411, 719, 1140, 96, 175, 271
1411, 725, 1147, 107, 157, 264
1411, 731, 1156, 108, 147, 255
1411, 798, 1282, 64, 65, 129
1412, 3053, 1397, 1, 14, 15
1412, 800, 1284, 63, 65, 128
1412, 803, 1287, 67, 58, 125
1412, 791, 1271, 70, 71, 141
1412, 870, 1385, Never attacked, Never attacked, 27
1412, 811, 1297, 60, 55, 115
1412, 808, 1292, 65, 55, 120
1413, 390, 611, 1, 801, 802
1413, 376, 587, 10, 816, 826
1413, 658, 1051, 1, 361, 362
1413, 369, 579, 30, 804, 834
1413, 669, 1065, 1, 347, 348
1413, 883, 1406, Never attacked, Never attacked, 7
1417, 3070, 1416, 1, 0, 1
