td, id, tj, df, dd, db
195, 2160, 190, 2, 3, 5
201, 112, 182, 1, 18, 19
201, 107, 173, 1, 27, 28
201, 101, 161, 1, 39, 40
201, 87, 132, 1, 68, 69
201, 127, 200, Never attacked, Never attacked, 1
202, 2168, 200, 1, 1, 2
203, 2161, 192, 1, 10, 11
203, 2165, 197, 1, 5, 6
204, 2162, 193, 1, 10, 11
205, 2163, 194, 1, 10, 11
205, 2164, 195, 1, 9, 10
206, 2166, 198, 1, 7, 8
207, 2167, 199, 1, 7, 8
207, 64, 90, 1, 116, 117
207, 6, 7, 2, 198, 200
207, 25, 31, Never attacked, Never attacked, 176
207, 52, 68, Never attacked, Never attacked, 139
207, 56, 75, Never attacked, Never attacked, 132
208, 70, 99, Never attacked, Never attacked, 109
208, 71, 100, 9, 99, 108
208, 79, 112, 1, 95, 96
208, 55, 74, 15, 119, 134
208, 65, 91, 18, 99, 117
208, 134, 207, 1, 0, 1
209, 54, 72, 17, 120, 137
209, 86, 128, 1, 80, 81
209, 113, 183, Never attacked, Never attacked, 26
219, 2169, 201, 4, 14, 18
220, 2170, 202, 4, 14, 18
220, 133, 206, Never attacked, Never attacked, 14
221, 2173, 204, 2, 15, 17
222, 2176, 207, 1, 14, 15
229, 2182, 213, 14, 2, 16
229, 2183, 213, 14, 2, 16
229, 2182, 213, 14, 2, 16
229, 2183, 213, 14, 2, 16
235, 2177, 208, 1, 26, 27
235, 2195, 230, 1, 4, 5
235, 2196, 230, 1, 4, 5
236, 2188, 222, 1, 13, 14
238, 2200, 234, 1, 3, 4
238, 2189, 223, 1, 14, 15
238, 2190, 225, 1, 12, 13
238, 2200, 234, 1, 3, 4
239, 2192, 227, 1, 11, 12
239, 2197, 231, 5, 3, 8
239, 2198, 232, 5, 2, 7
240, 2193, 228, 1, 11, 12
240, 2194, 229, 1, 10, 11
244, 2199, 233, 6, 5, 11
247, 2202, 240, 1, 6, 7
248, 2204, 246, 1, 1, 2
248, 2201, 237, 1, 10, 11
249, 153, 237, 1, 11, 12
249, 144, 226, 1, 22, 23
250, 158, 248, 1, 1, 2
255, 2203, 243, 1, 11, 12
256, 2205, 247, 1, 8, 9
257, 2210, 254, 1, 2, 3
259, 160, 254, 1, 4, 5
266, 2216, 263, 1, 2, 3
264, 2208, 253, 2, 9, 11
264, 2209, 253, 2, 9, 11
265, 2212, 256, 1, 8, 9
266, 2216, 263, 1, 2, 3
266, 2216, 263, 1, 2, 3
266, 2174, 206, 2, 58, 60
268, 2154, 184, 1, 83, 84
268, 2154, 184, 1, 83, 84
268, 2155, 184, 1, 83, 84
268, 125, 198, 1, 69, 70
268, 136, 210, 13, 45, 58
268, 122, 194, 1, 73, 74
268, 135, 208, 14, 46, 60
268, 130, 202, 18, 48, 66
268, 118, 189, 1, 78, 79
268, 170, 267, Never attacked, Never attacked, 1
272, 2222, 269, 1, 2, 3
273, 2127, 139, 1, 133, 134
273, 2127, 139, 1, 133, 134
275, 2211, 255, 1, 19, 20
276, 2213, 260, 1, 15, 16
277, 2219, 266, 1, 10, 11
281, 166, 263, 1, 17, 18
281, 176, 276, 1, 4, 5
282, 2215, 262, 1, 19, 20
283, 2218, 265, 1, 17, 18
290, 2220, 267, 1, 22, 23
297, 2231, 286, 1, 10, 11
298, 2238, 293, 1, 4, 5
299, 2226, 276, 1, 22, 23
307, 2246, 304, 1, 2, 3
308, 2247, 306, 1, 1, 2
308, 193, 307, 1, 0, 1
309, 2221, 268, 1, 40, 41
309, 2223, 273, 1, 35, 36
310, 2232, 287, 1, 22, 23
312, 2250, 308, 1, 3, 4
313, 2251, 310, 1, 2, 3
318, 137, 211, 17, 90, 107
318, 149, 231, 44, 43, 87
318, 143, 225, 38, 55, 93
318, 187, 299, Never attacked, Never attacked, 19
318, 139, 215, 17, 86, 103
318, 140, 219, 15, 84, 99
318, 146, 228, 41, 49, 90
318, 199, 317, Never attacked, Never attacked, 1
318, 197, 314, 1, 3, 4
321, 200, 320, 1, 0, 1
322, 2233, 288, 1, 33, 34
323, 2239, 294, 1, 28, 29
324, 2240, 298, 1, 25, 26
324, 2257, 322, 1, 1, 2
325, 2241, 299, 11, 15, 26
325, 2260, 324, 1, 0, 1
325, 2255, 317, 1, 7, 8
326, 2244, 301, 9, 16, 25
327, 2245, 302, 9, 16, 25
328, 2242, 300, 8, 20, 28
328, 2243, 300, 8, 20, 28
328, 2242, 300, 8, 20, 28
328, 2243, 300, 8, 20, 28
331, 2252, 313, 10, 8, 18
333, 2253, 314, 1, 18, 19
332, 205, 327, 1, 4, 5
332, 203, 324, 1, 7, 8
333, 2253, 314, 1, 18, 19
338, 2264, 333, 1, 4, 5
338, 207, 336, 1, 1, 2
339, 206, 333, 1, 5, 6
344, 2234, 291, 38, 15, 53
344, 2235, 291, 38, 15, 53
345, 2254, 316, 8, 21, 29
346, 2256, 320, 5, 21, 26
347, 2265, 336, 1, 10, 11
349, 2267, 340, 1, 8, 9
352, 2268, 342, 1, 9, 10
353, 2271, 347, 1, 5, 6
354, 2274, 350, 1, 3, 4
354, 2266, 338, 1, 15, 16
356, 2272, 349, 1, 6, 7
356, 2273, 349, 1, 6, 7
359, 2277, 355, 1, 3, 4
358, 2279, 357, 1, 0, 1
359, 2277, 355, 1, 3, 4
359, 2277, 355, 1, 3, 4
359, 216, 352, 1, 6, 7
359, 212, 347, 1, 11, 12
360, 209, 340, 1, 19, 20
371, 2276, 352, 1, 18, 19
372, 2280, 358, 1, 13, 14
373, 2283, 361, 1, 11, 12
373, 229, 372, 1, 0, 1
374, 2284, 363, 1, 10, 11
375, 2285, 364, 1, 10, 11
376, 2286, 366, 1, 9, 10
377, 2296, 375, 1, 1, 2
379, 233, 377, 1, 1, 2
379, 234, 378, 1, 0, 1
386, 2287, 367, 1, 18, 19
387, 2288, 368, 5, 14, 19
388, 2289, 369, 5, 14, 19
388, 235, 380, 1, 7, 8
389, 2302, 381, 1, 7, 8
390, 2303, 384, 1, 5, 6
396, 2299, 378, 1, 17, 18
396, 2309, 391, 1, 4, 5
396, 237, 384, Never attacked, Never attacked, 12
396, 218, 356, Never attacked, Never attacked, 40
396, 211, 345, Never attacked, Never attacked, 51
396, 208, 338, Never attacked, Never attacked, 58
396, 202, 323, Never attacked, Never attacked, 73
397, 2305, 386, 1, 10, 11
397, 150, 232, 43, 122, 165
397, 129, 201, 4, 192, 196
397, 165, 262, 60, 75, 135
397, 191, 304, 66, 27, 93
